optimizer,epochs,batch_size,output_dim,accuracy
adam,30,800,4,1.0
adam,30,800,6,1.0
adam,30,800,8,1.0
adam,30,800,10,1.0
adam,30,800,12,1.0
adam,30,800,14,1.0
adam,30,900,2,0.9962121248245239
adam,30,900,4,1.0
adam,30,900,6,1.0
adam,30,900,8,1.0
adam,30,900,10,1.0
adam,30,900,12,1.0
adam,30,900,14,1.0
adam,40,100,2,1.0
adam,40,100,4,1.0
adam,40,100,6,1.0
adam,40,100,8,1.0
adam,40,100,10,1.0
adam,40,100,12,1.0
adam,40,100,14,1.0
adam,40,200,2,1.0
adam,40,200,4,1.0
adam,40,200,6,1.0
adam,40,200,8,1.0
adam,40,200,10,1.0
adam,40,200,12,1.0
adam,40,200,14,1.0
adam,40,300,2,0.9992424249649048
adam,40,300,4,1.0
adam,40,300,6,1.0
adam,40,300,8,1.0
adam,40,300,10,1.0
adam,40,300,12,1.0
adam,40,300,14,1.0
adam,40,400,2,0.9977272748947144
adam,40,400,4,1.0
adam,40,400,6,1.0
adam,40,400,8,1.0
adam,40,400,10,1.0
adam,40,400,12,1.0
adam,40,400,14,1.0
adam,40,500,2,1.0
adam,40,500,4,1.0
adam,40,500,6,1.0
adam,40,500,8,1.0
adam,40,500,10,1.0
adam,40,500,12,1.0
adam,40,500,14,1.0
adam,40,600,2,1.0
adam,40,600,4,1.0
adam,40,600,6,1.0
adam,40,600,8,1.0
adam,40,600,10,1.0
adam,40,600,12,1.0
adam,40,600,14,1.0
adam,40,700,2,0.9984848499298096
adam,40,700,4,1.0
adam,40,700,6,1.0
adam,40,700,8,1.0
adam,40,700,10,1.0
adam,40,700,12,1.0
adam,40,700,14,1.0
adam,40,800,2,0.9992424249649048
adam,40,800,4,1.0
adam,40,800,6,1.0
adam,40,800,8,1.0
adam,40,800,10,1.0
adam,40,800,12,1.0
adam,40,800,14,1.0
adam,40,900,2,1.0
adam,40,900,4,1.0
adam,40,900,6,1.0
adam,40,900,8,1.0
adam,40,900,10,1.0
adam,40,900,12,1.0
adam,40,900,14,1.0
adam,50,100,2,1.0
adam,50,100,4,1.0
adam,50,100,6,1.0
adam,50,100,8,1.0
adam,50,100,10,1.0
adam,50,100,12,1.0
adam,50,100,14,1.0
adam,50,200,2,1.0
adam,50,200,4,1.0
adam,50,200,6,1.0
adam,50,200,8,1.0
adam,50,200,10,1.0
adam,50,200,12,1.0
adam,50,200,14,1.0
adam,50,300,2,1.0
adam,50,300,4,1.0
adam,50,300,6,1.0
adam,50,300,8,1.0
adam,50,300,10,1.0
adam,50,300,12,1.0
adam,50,300,14,1.0
adam,50,400,2,1.0
adam,50,400,4,1.0
adam,50,400,6,1.0
adam,50,400,8,1.0
adam,50,400,10,1.0
adam,50,400,12,1.0
adam,50,400,14,1.0
adam,50,500,2,1.0
adam,50,500,4,1.0
adam,50,500,6,1.0
adam,50,500,8,1.0
adam,50,500,10,1.0
adam,50,500,12,1.0
adam,50,500,14,1.0
adam,50,600,2,1.0
adam,50,600,4,1.0
adam,50,600,6,1.0
adam,50,600,8,1.0
adam,50,600,10,1.0
adam,50,600,12,1.0
adam,50,600,14,1.0
adam,50,700,2,1.0
adam,50,700,4,1.0
adam,50,700,6,1.0
adam,50,700,8,1.0
adam,50,700,10,1.0
adam,50,700,12,1.0
adam,50,700,14,1.0
adam,50,800,2,1.0
adam,50,800,4,1.0
adam,50,800,6,1.0
adam,50,800,8,1.0
adam,50,800,10,1.0
adam,50,800,12,1.0
adam,50,800,14,1.0
adam,50,900,2,1.0
adam,50,900,4,1.0
adam,50,900,6,1.0
adam,50,900,8,1.0
adam,50,900,10,1.0
adam,50,900,12,1.0
adam,50,900,14,1.0
adam,60,100,2,1.0
adam,60,100,4,1.0
adam,60,100,6,1.0
adam,60,100,8,1.0
adam,60,100,10,1.0
adam,60,100,12,1.0
adam,60,100,14,1.0
adam,60,200,2,1.0
adam,60,200,4,1.0
adam,60,200,6,1.0
adam,60,200,8,1.0
adam,60,200,10,1.0
adam,60,200,12,1.0
adam,60,200,14,1.0
adam,60,300,2,1.0
adam,60,300,4,1.0
adam,60,300,6,1.0
adam,60,300,8,1.0
adam,60,300,10,1.0
adam,60,300,12,1.0
adam,60,300,14,1.0
adam,60,400,2,1.0
adam,60,400,4,1.0
adam,60,400,6,1.0
adam,60,400,8,1.0
adam,60,400,10,1.0
adam,60,400,12,1.0
adam,60,400,14,1.0
adam,60,500,2,1.0
adam,60,500,4,1.0
adam,60,500,6,1.0
adam,60,500,8,1.0
adam,60,500,10,1.0
adam,60,500,12,1.0
adam,60,500,14,1.0
adam,60,600,2,1.0
adam,60,600,4,1.0
adam,60,600,6,1.0
adam,60,600,8,1.0
adam,60,600,10,1.0
adam,60,600,12,1.0
adam,60,600,14,1.0
adam,60,700,2,1.0
adam,60,700,4,1.0
adam,60,700,6,1.0
adam,60,700,8,1.0
adam,60,700,10,1.0
adam,60,700,12,1.0
adam,60,700,14,1.0
adam,60,800,2,1.0
adam,60,800,4,1.0
adam,60,800,6,1.0
adam,60,800,8,1.0
adam,60,800,10,1.0
adam,60,800,12,1.0
adam,60,800,14,1.0
adam,60,900,2,1.0
adam,60,900,4,1.0
adam,60,900,6,1.0
adam,60,900,8,1.0
adam,60,900,10,1.0
adam,60,900,12,1.0
adam,60,900,14,1.0
adam,70,100,2,1.0
adam,70,100,4,1.0
adam,70,100,6,1.0
adam,70,100,8,1.0
adam,70,100,10,1.0
adam,70,100,12,1.0
adam,70,100,14,1.0
adam,70,200,2,1.0
adam,70,200,4,1.0
adam,70,200,6,1.0
adam,70,200,8,1.0
adam,70,200,10,1.0
adam,70,200,12,1.0
adam,70,200,14,1.0
adam,70,300,2,1.0
adam,70,300,4,1.0
adam,70,300,6,1.0
adam,70,300,8,1.0
adam,70,300,10,1.0
adam,70,300,12,1.0
adam,70,300,14,1.0
adam,70,400,2,1.0
adam,70,400,4,1.0
adam,70,400,6,1.0
adam,70,400,8,1.0
adam,70,400,10,1.0
adam,70,400,12,1.0
adam,70,400,14,1.0
adam,70,500,2,1.0
adam,70,500,4,1.0
adam,70,500,6,1.0
adam,70,500,8,1.0
adam,70,500,10,1.0
adam,70,500,12,1.0
adam,70,500,14,1.0
adam,70,600,2,1.0
adam,70,600,4,1.0
adam,70,600,6,1.0
adam,70,600,8,1.0
adam,70,600,10,1.0
adam,70,600,12,1.0
adam,70,600,14,1.0
adam,70,700,2,1.0
adam,70,700,4,1.0
adam,70,700,6,1.0
adam,70,700,8,1.0
adam,70,700,10,1.0
adam,70,700,12,1.0
adam,70,700,14,1.0
adam,70,800,2,1.0
adam,70,800,4,1.0
adam,70,800,6,1.0
adam,70,800,8,1.0
adam,70,800,10,1.0
adam,70,800,12,1.0
adam,70,800,14,1.0
adam,70,900,2,1.0
adam,70,900,4,1.0
adam,70,900,6,1.0
adam,70,900,8,1.0
adam,70,900,10,1.0
adam,70,900,12,1.0
adam,70,900,14,1.0
adam,80,100,2,1.0
adam,80,100,4,1.0
adam,80,100,6,1.0
adam,80,100,8,1.0
adam,80,100,10,1.0
adam,80,100,12,1.0
adam,80,100,14,1.0
adam,80,200,2,1.0
adam,80,200,4,1.0
adam,80,200,6,1.0
adam,80,200,8,1.0
adam,80,200,10,1.0
adam,80,200,12,1.0
adam,80,200,14,1.0
adam,80,300,2,1.0
adam,80,300,4,1.0
adam,80,300,6,1.0
